,对话编号,私信位置,应答,错最多次相应的应答,是否相同,问题类型,仅含车型信息,是否问句,是否首句,车型,车型配置,门店地址,留联系方式,新车,二手车,求联系,车型_陈述,该句车型,是否留过联系方式,上牌_问句,落地价_问句,裸车价_问句,优惠_问句,现车_问句,贷款_问句,非九大类问句,非九大类问句_首句,非九大类问句_首句_车型,分词结果,具体车型,Y,Ys,Z
0,1,1,落地XX万左右。,落地XX万左右。,相同,落地价问题,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"['我', '只是', '在', '考虑', '中想', '问', '一下', 'A540', '落地', '多少', '做', '分期', '黑光', '包', '多少', '？']",A5,0,0,1
1,1,2,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['13627972877'],A5,1,1,1
2,2,1,您想咨询哪款车型？,您想咨询哪款车型？,相同,non,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"['有人', '在', '吗', '？']",空,2,2,1
3,2,2,新车还是二手车？,新车还是二手车？,相同,落地价问题,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,['A4L'],A4,3,3,1
4,2,3,哪个配置？,哪个配置？,相同,落地价问题,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['新车'],A4,4,4,1
5,3,1,【店里统一分配顾问】,【店里统一分配顾问】,相同,non,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['您好', '有', '保养', '售后', '联系方式', '吗']",空,5,5,1
6,3,2,收到，尽快联系您！,【_店地址】,不同,non,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['13051971801'],空,12,1,0
7,4,1,【留资】,新车还是二手车？,不同,non,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"['想', '给', '老婆', '买个', 'Q3']",Q3,3,6,0
8,4,2,【空】,省内可以/外省不行。,不同,non,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['什么', '意思']",Q3,8,7,0
9,4,3,【空】,【留资】,不同,non,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['你', '在', '说', '啥']",Q3,6,7,0
10,5,1,省内可以/外省不行。,省内可以/外省不行。,相同,non,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['异地', '可以', '上牌', '嘛', '？']",空,8,8,1
11,5,2,新车还是二手车？,新车还是二手车？,相同,落地价问题,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,['Q5L'],Q5L,3,3,1
12,6,1,新车还是二手车？,新车还是二手车？,相同,落地价问题,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['您好', '请问', 'Q5', '多少', '钱']",Q5,3,3,1
13,6,2,落地XX万左右。,裸车XX万左右。,不同,落地价问题,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,['二手车'],Q5,11,0,0
14,7,1,【留资】,新车还是二手车？,不同,non,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"['纠结', 'A3L', '还是', 'Q2']",Q2,3,6,0
15,7,2,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['13097889894'],Q2,1,1,1
16,8,1,落地XX万左右。,落地XX万左右。,相同,落地价问题,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['A440', '时尚', '动感', '落地', '多少', '？']",A4,0,0,1
17,8,2,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['18932360126'],A4,1,1,1
18,9,1,您想咨询哪款车型？,您想咨询哪款车型？,相同,non,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['不好意思', '点错', '了']",空,2,2,1
19,9,2,【空】,您想咨询哪款车型？,不同,non,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['不用', '了']",空,2,7,0
20,10,1,您想咨询哪款车型？,您想咨询哪款车型？,相同,non,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"['有人', '吗']",空,2,2,1
21,10,2,落地XX万左右。,落地XX万左右。,相同,落地价问题,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,"['二手车', 'Q3']",Q3,0,0,1
22,11,1,落地XX万左右。,落地XX万左右。,相同,落地价问题,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,"['你好', '刚说', 'A6L', '试', '驾车', '什么', '价']",A6,0,0,1
23,11,2,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"['453489519', '加', '我', '微信']",A6,1,1,1
24,11,3,【空】,【空】,相同,non,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,"['啥意思', '？']",A6,7,7,1
25,12,1,哪个配置？,哪个配置？,相同,落地价问题,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['Q5L', '落地', '最低', '多少']",Q5L,4,4,1
